,Open1,Open2,Open3,Open4,Open5,High1,High2,High3,High4,High5,Low1,Low2,Low3,Low4,Low5,Close1,Close2,Close3,Close4,Close5,Adj Close1,Adj Close2,Adj Close3,Adj Close4,Adj Close5,Volume1,Volume2,Volume3,Volume4,Volume5,Positive1,Positive2,Positive3,Positive4,Positive5,Neutral1,Neutral2,Neutral3,Neutral4,Neutral5,Negative1,Negative2,Negative3,Negative4,Negative5,High,Low,Close
397,122.599998,122.32,123.150002,123.379997,123.089996,122.639999,122.57,123.5,123.910004,123.610001,120.910004,121.709999,122.269997,122.550003,122.120003,121.300003,122.370003,122.989998,123.379997,122.769997,116.176353,117.201164,117.794968,118.168503,117.584259,42885000,33628300,37011700,33618100,44455500,7,20,8,3,3,4,12,10,10,5,1,2,0,0,2,122.57,117.519997,118.440002
398,121.5,122.599998,122.32,123.150002,123.379997,122.57,122.639999,122.57,123.5,123.910004,117.519997,120.910004,121.709999,122.269997,122.550003,118.440002,121.300003,122.370003,122.989998,123.379997,113.437157,116.176353,117.201164,117.794968,118.168503,69976000,42885000,33628300,37011700,33618100,9,7,20,8,3,22,4,12,10,10,8,1,2,0,0,117.699997,113.25,114.639999
399,117.419998,121.5,122.599998,122.32,123.150002,117.699997,122.57,122.639999,122.57,123.5,113.25,117.519997,120.910004,121.709999,122.269997,114.639999,118.440002,121.300003,122.370003,122.989998,109.797668,113.437157,116.176353,117.201164,117.794968,124138600,69976000,42885000,33628300,37011700,3,9,7,20,8,7,22,4,12,10,5,8,1,2,0,117.440002,112.099998,115.400002
400,112.949997,117.419998,121.5,122.599998,122.32,117.440002,117.699997,122.57,122.639999,122.57,112.099998,113.25,117.519997,120.910004,121.709999,115.400002,114.639999,118.440002,121.300003,122.370003,110.525574,109.797668,113.437157,116.176353,117.201164,99312600,124138600,69976000,42885000,33628300,24,3,9,7,20,14,7,22,4,12,17,5,8,1,2,116.5,114.120003,115.129997
401,115.970001,112.949997,117.419998,121.5,122.599998,116.5,117.440002,117.699997,122.57,122.639999,114.120003,112.099998,113.25,117.519997,120.910004,115.129997,115.400002,114.639999,118.440002,121.300003,110.76609,110.525574,109.797668,113.437157,116.176353,52903000,99312600,124138600,69976000,42885000,10,24,3,9,7,14,14,7,22,4,5,17,5,8,1,116.25,114.5,115.519997
402,114.580002,115.970001,112.949997,117.419998,121.5,116.25,116.5,117.440002,117.699997,122.57,114.5,114.120003,112.099998,113.25,117.519997,115.519997,115.129997,115.400002,114.639999,118.440002,111.141319,110.76609,110.525574,109.797668,113.437157,38670400,52903000,99312600,124138600,69976000,9,10,24,3,9,13,14,14,7,22,4,5,17,5,8,119.989998,116.529999,119.720001
403,116.529999,114.580002,115.970001,112.949997,117.419998,119.989998,116.25,116.5,117.440002,117.699997,116.529999,114.5,114.120003,112.099998,113.25,119.720001,115.519997,115.129997,115.400002,114.639999,115.182114,111.141319,110.76609,110.525574,109.797668,54951600,38670400,52903000,99312600,124138600,14,9,10,24,3,7,13,14,14,7,4,4,5,17,5,118.18,113.330002,113.489998
404,117.809998,116.529999,114.580002,115.970001,112.949997,118.18,119.989998,116.25,116.5,117.440002,113.330002,116.529999,114.5,114.120003,112.099998,113.489998,119.720001,115.519997,115.129997,115.400002,109.188248,115.182114,111.141319,110.76609,110.525574,97082800,54951600,38670400,52903000,99312600,8,14,9,10,24,18,7,13,14,14,7,4,4,5,17,115.419998,109.629997,115.239998
405,112.529999,117.809998,116.529999,114.580002,115.970001,115.419998,118.18,119.989998,116.25,116.5,109.629997,113.330002,116.529999,114.5,114.120003,115.239998,113.489998,119.720001,115.519997,115.129997,110.871918,109.188248,115.182114,111.141319,110.76609,101217500,97082800,54951600,38670400,52903000,18,8,14,9,10,26,18,7,13,14,6,7,4,4,5,116.400002,114.540001,115.150002
406,116.040001,112.529999,117.809998,116.529999,114.580002,116.400002,115.419998,118.18,119.989998,116.25,114.540001,109.629997,113.330002,116.529999,114.5,115.150002,115.239998,113.489998,119.720001,115.519997,110.785339,110.871918,109.188248,115.182114,111.141319,48535800,101217500,97082800,54951600,38670400,12,18,8,14,9,22,26,18,7,13,10,6,7,4,4,116.309998,114.010002,115.959999
